Asset Category,Asset Name as at 31 March 2014,Holding,Market Value (£),Energy utility,Coal / mining,Oil and gas
,3I INFRASTRUCTURE PLC ORD NPV ,7068414,9492880,No,No,No
,3M CO COM ,45000,3661757.87,No,No,No
,888 HOLDINGS ORD GBP0.005 ,583133,878781.43,No,No,No
,A2A SPA EUR0.52 ,3336875,2594490.03,No,No,No
,AA BOND CO LTD 6.269% BDS 02/07/2043 GBP100000 ,700000,784663.6,No,No,No
,AA BOND CO LTD MTN 4.2487% 31/07/2020 ,400000,402905.6,No,No,No
,AALBERTS INDS EUR0.25 ,310119,6485094.76,No,No,No
,ABBOTT LAB COM ,247350,5715095.48,No,No,No
,ABBVIE INC COM USD0.01 ,46800,1442893.47,No,No,No
,ABERTIS INFRAESTR EUR3 SERIE A ,214422,2937278.44,No,No,No
,ABN AMRO BANK NV 6.375% BDS 27/04/21 EUR1000 ,1450000,1425631.26,No,No,No
,ACCENTURE PLC SHS CL A NEW ,48400,2314397.49,No,No,No
,ACE LTD COM STK ,84091,4996078.97,No,No,No
,ADECCO SA CHF1 (REGD) ,33800,1686927.84,No,No,No
,ADR AMBEV SA SPONSORED ADR ,1126000,5004744.33,No,No,No
,ADR BAIDU INC SPONSORED ADR ,100839,9215624.94,No,No,No
,ADR BANCO BRADESCO S A SPONSORED ADR REPSTG PFD SHS NEW 2004 ,279180,2289170.36,No,No,No
,ADR CPFL ENERGIA S A SPONSORED ADR ,156600,1533921.87,No,No,No
,ADR FOMENTO ECONOMICO MEXICANA SAB DE CV ,36800,2057921.48,No,No,No
,ADR GRUPO FINANCIERO SANTANDER MEX S A BDE C V SPONSORED ADR REPSTG SHS SER B ,271500,1999831.93,No,No,No
,ADR ICICI BK LTD ,34600,908816.79,No,No,No
,ADR MINDRAY MED INTL LTD SPONSORED ADR REPSTG CL A ,234279,4543226.23,No,No,No
,ADR MOBILE TELESYSTEMS OJSC SPONSORED ,224900,2358067.22,No,No,No
,ADR OAO GAZPROM LEVEL 1 ADR ,12190,56740.18,No,No,Yes
,ADR PHILIPPINE LONG DISTANCE TEL CO SPONSORED ADR ,68500,2505140.36,No,No,No
,ADR SBERBANK RUSSIA SPONSORED ADR ,814492,4773167.59,No,No,No
,ADR TEVA PHARMACEUTICAL INDS ,29575,937019.11,No,No,No
,ADR VALE S A ADR ,63700,528429.32,No,Yes,No
,ADR VALE S A ADR REPSTG PFD PREF ADR ,718600,5362075.08,No,Yes,No
,ADR WUXI PHARMATECH CAYMAN INC SPONSOREDADR REPSTG ORD SHS ADR ,30267,669372.42,No,No,No
,ADV MED SOLUTIONS ORD GBP0.05 ,287356,359195,No,No,No
,ADVA COMP SOFTW GP ORD GBP0.10 ,500000,601250,No,No,No
,ADVANCED INFO SERV THB1(ALIEN MKT) ,92200,383581.7,No,No,No
,ADVANCED INFO SERV THB1(NVDR) ,745500,3101520.15,No,No,No
,AEGON NV COM STK EUR0.12 ,427314,2352743.69,No,No,No
,AEON CO LTD NPV ,310300,2101903.65,No,No,No
,AFLAC INC COM ,93679,3542287.02,No,No,No
,AFREN ORD GBP0.01 ,4306481,6076444.69,No,No,No
,AFRICAN BARRICK GO ORD GBP0.10 ,792095,2086378.23,No,No,No
,AGGREKO ORD GBP0.13708387 ,178247,2675487.47,No,No,No
,AGL ENERGY LTD NPV ,520951,4396462.71,No,No,Yes
,AGL RES INC COM ,128700,3778050.94,No,No,Yes
,AIA GROUP LTD NPV ,502941,1429233.15,No,No,No
,AIR LIQUIDE(L') EUR5.50 ,52705,4283975.26,No,No,No
,AJINOMOTO CO INC NPV ,421000,3614355.72,No,No,No
,AKER SOLUTIONS ASA NOK2 ,127262,1187665.13,No,No,No
,AKZO NOBEL NV EUR2 ,12996,635718.04,No,No,No
,ALLIANCE DATA SYS CORP COM ,24900,4069372.04,No,No,No
,ALLIANT ENERGY CORP COM ,116400,3965063.49,Yes,No,No
,ALLIANT TECHSYSTEMS INC COM ,46800,3990695.26,No,No,No
,ALLIANZ FINANCE II 5.75%-FRN GTD 08/07/41 EUR ,2700000,2584983.9,No,No,No
,ALPHA NAT RES INC 6% DUE 06-01-2019 ,850000,391311.5,No,Yes,No
,ALTERA CORP COM ,196042,4260325.25,No,No,No
,ALTRIA GROUP INC COM ,708735,15907903.97,No,No,No
,ALUMINA LTD NPV ,2219043,1468072.24,No,No,No
,AMAZON COM INC COM ,8590,1733096.74,No,No,No
,AMCOR LIMITED NPV ,2338000,13492008.52,No,No,No
,AMDOCS ORD GBP0.01 ,67182,1872222.38,No,No,No
,AMER ELEC PWR CO INC COM ,127700,3879677.66,No,No,No
,AMER INTL GRP 5% EMTN BDS 04/23 GBP50000 ,1200000,1308622.8,No,No,No
,AMER MOVIL SAB DE C V SPONSORED ADR REPSTG SER L SHS ,130300,1552204.57,No,No,No
,AMEREN CORP COM ,167100,4129514.19,No,No,No
,AMERICA MOVIL SAB DE CV 4.375% DUE 07/08/2041 ,1350000,1236790.35,No,No,No
,AMERICAN EXPRESS CO ,19678,1062657.97,No,No,No
,AMERICAN WTR WKS CO INC NEW COM ,142200,3872404.77,No,No,No
,AMERISOURCEBERGEN CORP COM ,85200,3351477.47,No,No,No
,AMGEN INC COM ,9546,706294.59,No,No,No
,AMMB HOLDINGS BHD MYR1 ,1855500,2440335.73,No,No,No
,ANALOG DEVICES INC COM ,206200,6572574.36,No,No,No
,ANDRITZ AG NPV (BR) ,47417,1751265.14,No,No,No
,ANHEUSER-BUSCH INB 6.5% GTD EMTN 23/06/17 GBP ,800000,913995.2,No,No,No
,ANNALY CAP MGMT INC COM ,590400,3881344.58,No,No,No
,ANSELL NPV ,142258,1455222.05,No,No,No
,AON PLC COM ,73000,3690393.56,No,No,No
,APOLLO EDUCATION GROUP INC ,114500,2350919.09,No,No,No
,APPLE INC COM STK ,2800,901193,No,No,No
,APPLIED MATERIALS INC COM ,308400,3775571.26,No,No,No
,ARCOS DORADOS HOLDINGS INC COM NPV CL 'A' ,64049,387256.02,No,No,No
,ARDAGH PKG FIN/MP HD USA BNDS 7.375% 15 OCT 2017 ,200000,175675.91,No,No,No
,ASAHI GROUP HOLDINGS LTD NPV ,350100,5888987.23,No,No,No
,ASAHI KASEI CORP NPV ,760000,3107434.75,No,No,No
,ASHTEAD GROUP ORD GBP0.10 ,787966,7489616.83,No,No,No
,ASML HOLDING NV EUR0.09 ,56547,3142866.6,No,No,No
,ASSA ABLOY SER'B'NPV ,71708,2286100.43,No,No,No
,ASSIC GENERALI SPA 10.125% EMTN 10/07/42EUR ,1200000,1327433.27,No,No,No
,ASSOCD BRIT FOODS ORD GBP0.0568 ,160271,4457136.51,No,No,No
,ASSURA GROUP LTD ORD GBP0.10 ,1200000,513000,No,No,No
,ASTELLAS PHARMA NPV ,506000,3607308.19,No,No,No
,ASTRA INTL IDR50 ,7088000,2760150.03,No,No,No
,ASTRAZENECA ORD USD0.25 ,537419,20830360.44,No,No,No
,ASUSTEK COMPUTER TWD10 ,137000,812249.4,No,No,No
,AT&T INC 4.25 BDS DUE 06-01-2043 BEO GBP100000 ,2100000,1851717,No,No,No
,AT&T INC 5.5% SNR 15/03/27 GBP50000 ,700000,768840.8,No,No,No
,AT&T INC COM ,854250,17969916.15,No,No,No
,ATLAS COPCO AB SER'A'NPV ,150004,2589565.51,No,No,No
,ATLAS COPCO AB SER'B'NPV ,79538,1303183.73,No,No,No
,ATMOS ENERGY CORP COM ,135200,3820455.04,Yes,No,No
,AUST & NZ BANK GRP NPV ,532556,9788200.97,No,No,No
,AUTOMATIC DATA PROCESSING INC COM ,74800,3465974.66,No,No,No
,AUTOZONE INC COM ,2430,782398.3,No,No,No
,AVEVA GROUP ORD GBP0.03556 ,55625,1163675,No,No,No
,AVIVA 6.875%-FR EMTN 20/05/58 GBP,1350000,1511111.7,No,No,No
