Asset category,Asset Name,Holding,Market Value (£),CU Both,CU Oil and gas,CU Coal,Arms (Sipri top 20)**,Tobacco (est)
UNLISTED INVESTMENTS,3i India Infrastructure C,,"£20,208,825",No,No,No,No,No
Equities,3I INFRASTRUCTURE PLC ORD NPV,7068414,"£11,323,599",No,No,No,No,No
Equities,3M CO COM,94500,"£10,499,717",No,No,No,No,No
Equities,888 HOLDINGS ORD GBP0.005,1093133,"£1,656,097",No,No,No,No,No
Equities,A2A SPA EUR0.52,3336875,"£2,334,482",No,No,No,No,No
Equities,AA PLC NEW ORD GBP0.001 (SUB SHS CLAIMS PURPS),22500,"£3,983",No,No,No,No,No
Equities,AA PLC ORD GBP0.001,240000,"£966,480",No,No,No,No,No
Equities,AALBERTS INDS EUR0.25,314566,"£6,653,328",No,No,No,No,No
Equities,ABBOTT LAB COM,188450,"£5,882,636",No,No,No,No,No
Equities,ABBVIE INC COM USD0.01,53800,"£2,120,470",No,No,No,No,No
Equities,ABERTIS INFRAESTR EUR3 SERIE A,225143,"£2,742,178",No,No,No,No,No
Equities,ACACIA MINING PLC ORD GBP0.10,360000,"£943,200",No,No,No,No,No
Equities,ACCENTURE PLC SHS CL A NEW,48400,"£3,054,628",No,No,No,No,No
Equities,ACE LTD COM STK,104823,"£7,873,199",No,No,No,No,No
Equities,ACS ACTIVIDADES CO EUR0.5,80956,"£1,932,508",No,No,No,No,No
UNLISTED INVESTMENTS,Actis Emerging Markets 3,,"£10,104,412",No,No,No,No,No
UNLISTED INVESTMENTS,Actis IV,,"£13,472,550",No,No,No,No,No
Equities,ADECCO SA CHF1 (REGD),20500,"£1,151,610",No,No,No,No,No
Equities,ADR ALIBABA GROUP HLDG LTD-SP A,21945,"£1,230,369",No,No,No,No,No
Equities,ADR AMBEV SA SPONSORED ADR,921000,"£3,573,567",No,No,No,No,No
Equities,ADR BAIDU INC SPONSORED ADR,84000,"£11,792,253",No,No,No,No,No
Equities,ADR BANCO BRADESCO S A SPONSORED ADR REPSTG PFD SHS NEW 2004,312216,"£1,953,848",No,No,No,No,No
Equities,ADR BITAUTO HLDGS LTD SPONSORED ADS ADR,48611,"£1,666,102",No,No,No,No,No
Equities,ADR CPFL ENERGIA S A SPONSORED ADR,173100,"£1,483,215",No,No,No,No,No
Equities,ADR FOMENTO ECONOMICO MEXICANA SAB DE CV,30800,"£1,940,120",No,No,No,No,No
Equities,ADR GRUPO FINANCIERO SANTANDER MEX S A BDE C V SPONSORED ADR REPSTG SHS SER B,269800,"£1,982,835",No,No,No,No,No
Equities,ADR HDFC BK LTD ADR REPSTG 3 SHS,142600,"£5,656,931",No,No,No,No,No
Equities,ADR ICICI BK LTD,413900,"£2,888,517",No,No,No,No,No
Equities,ADR MINDRAY MED INTL LTD SPONSORED ADR REPSTG CL A,189622,"£3,490,986",No,No,No,No,No
Equities,ADR OAO GAZPROM LEVEL 1 ADR,79798,"£253,451",No,No,No,No,No
Equities,ADR PHILIPPINE LONG DISTANCE TEL CO SPONSORED ADR,67300,"£2,832,992",No,No,No,No,No
Equities,ADR SBERBANK RUSSIA SPONSORED ADR,485153,"£1,424,902",No,No,No,No,No
