asset_category,asset_name,holding,market_value,coal,oil_gas,arms,tobacco
Equities,3I INFRASTRUCTURE ORD NPV,6361572,10973712,No,No,No,No
Equities,3M CO COM,162543,18840650,No,No,No,No
Equities,888 HOLDINGS ORD GBP0.005,1093133,2317442,No,No,No,No
Equities,A2A SPA EUR0.52,3336875,3021287,No,No,No,No
Equities,ABBOTT LAB COM,188450,5483183,No,No,No,No
Equities,ABBVIE INC COM USD0.01,86200,3423891,No,No,No,No
Equities,ABCAM,475000,2795375,No,No,No,No
Equities,ORD GBP0.002,236400,2706454,No,No,No,No
Equities,ABERTIS INFRAESTR EUR3 SERIE A,48400,3887692,No,No,No,No
Equities,ACCENTURE PLC SHS CL A NEW,140175,13847602,No,No,No,No
Equities,ACKERMANS NPV,82883,1721024,No,No,No,No
Equities,ACS ACTIVIDADES CO EUR0.5,31562,1735658,No,No,No,No
Equities,ADR ALIBABA GROUP HLDG LTD-SP A,18431,358284,No,No,No,No
Equities,ADR AUTOHOME INC SPONSORED ADR REPST CL A,39440,5237538,No,No,No,No
Equities,ADR BAIDU INC SPONSORED ADR,123600,2360551,No,No,No,No
Equities,ADR GRUPO TELEVISA SA DE CV SPONSORED ADR REPSTG ORD PARTN SPONS ADR,12182,522352,No,No,No,No
Equities,ADR HDFC BK LTD ADR REPSTG 3 SHS,266262,1326401,No,No,No,No
Equities,ADR ICICI BK LTD,108798,4048985,No,No,No,No
Equities,ADR TEVA PHARMACEUTICAL INDS,57000,4905583,No,No,No,No
Equities,AEROPORTS DE PARIS EUR3,93679,4115280,No,No,No,No
Equities,AFLAC INC COM,169654,1827174,No,No,No,No
Equities,AGGREKO ORD GBP0.048329113924,461600,1815597,No,No,No,No
Equities,AIA GROUP LTD NPV,62051,4865048,No,No,No,No
Equities,AIR LIQUIDE(L') EUR5.50,27300,4176009,No,No,No,No
Equities,ALLIANCE DATA SYS CORP COM,116400,6014770,No,No,No,No
Equities,ALLIANT ENERGY CORP COM,52165,5910135,No,No,No,No
Equities,ALLIANZ SE NPV(REGD)(VINKULIERT),100000,4686565,No,No,No,No
Equities,ALLSTATE CORP COM,10372,452679,No,No,No,No
